Country,Year,Mortality Rate,Oil Consumption per capita (tonnes per year),Population,GDP per capita (US$),Continent,GDP per capita (log US$)
Singapore,1969,28.4,3.38,2042500,812,Asia,6.699500340161678
Slovak Republic,1969,18.4,0.75,4518607,34525,Europe,10.449438978277493
Sweden,1969,13.9,3.35,7968072,4234,Europe,8.350902451694811
Thailand,1969,103.5,0.12,34787583,192,Asia,5.2574953720277815
Turkmenistan,1969,19.1,5.08,2139557,13056,Asia,9.477003077203888
Ukraine,1969,57.6,0.73,46990889,3735,Europe,8.225503097566918
United States,1969,24.1,3.22,202677000,5032,North America,8.523572798380277
Uzbekistan,1969,42.1,1.31,11641640,3843,Asia,8.254008590564844
South Africa,1969,32.0,0.36,21704214,887,Africa,6.787844982309579
United Arab Emirates,1970,97.9,0.88,298084,46094,Asia,10.738438068670435
Argentina,1970,71.7,0.91,23842803,1324,South America,7.188412736496954
Australia,1970,21.5,1.92,12507000,3304,Oceania,8.102889134640868
Austria,1970,29.0,1.21,7467086,2058,Europe,7.629489916393995
Azerbaijan,1970,15.8,2.19,5172050,21794,Asia,9.989389981536831
Bangladesh,1970,273.1,0.45,67541860,133,Asia,4.890349128221754
Bulgaria,1970,32.3,1.06,8489574,12945,Europe,9.468464892185638
Belarus,1970,28.9,1.04,9040000,20180,Europe,9.9124472939076
Brazil,1970,132.6,0.26,96369875,439,South America,6.0844994130751715
Canada,1970,22.0,3.3,21324000,4135,North America,8.327242607457793
Switzerland,1970,18.4,2.03,6180877,5440,Europe,8.601534339849989
Chile,1970,79.9,0.48,9820481,931,South America,6.836259277277067
China,1970,112.8,0.03,818315000,113,Asia,4.727387818712341
Colombia,1970,97.5,0.23,20905254,344,South America,5.840641657373398
Germany,1970,25.6,1.77,78169289,2761,Europe,7.923348211930154
Denmark,1970,16.6,3.73,4928757,3464,Europe,8.150179269682326
Algeria,1970,239.2,0.15,13795915,352,Africa,5.863631175598097
Ecuador,1970,137.0,0.18,6172215,463,South America,6.137727054086234
Spain,1970,31.6,0.83,33814531,1212,Europe,7.10002716662926
Finland,1970,16.1,2.34,4606307,2465,Europe,7.80994708647679
France,1970,18.2,1.86,51724116,2870,Europe,7.962067308753666
United Kingdom,1970,21.0,1.86,55663250,2347,Europe,7.760893195851024
Greece,1970,31.1,0.76,8792806,1494,Europe,7.309212365692763
Hungary,1970,38.6,0.58,10337910,6893,Europe,8.838261682885651
Indonesia,1970,166.0,0.06,115228394,79,Asia,4.3694478524670215
India,1970,214.5,0.04,557501301,111,Asia,4.709530201312334
Ireland,1970,22.2,1.38,2957250,1486,Europe,7.303843225277705
Iceland,1970,16.0,2.69,204438,2576,Europe,7.853993087224244
Italy,1970,33.6,1.64,53821850,2106,Europe,7.652545692693921
Japan,1970,17.5,1.92,103403000,2056,Asia,7.628517626575055
Kazakhstan,1970,33.9,1.68,12265305,3385,Asia,8.127109185346375
"Korea, Rep.",1970,61.3,0.27,32240827,279,Asia,5.631211781821365
Kuwait,1970,70.2,5.85,802786,3579,Asia,8.182838710766026
Lithuania,1970,23.1,2.63,3139689,7685,Europe,8.947025655972697
Mexico,1970,106.6,0.38,50289306,706,North America,6.559615237493242
Malaysia,1970,55.4,0.26,10306508,374,Asia,5.924255797414532
Netherlands,1970,15.8,2.82,13038526,2927,Europe,7.9817332866918855
Norway,1970,16.2,2.14,3875763,3306,Europe,8.10349427838097
New Zealand,1970,20.8,1.41,2810700,11842,Oceania,9.37940781309172
Pakistan,1970,190.5,0.08,59290872,169,Asia,5.1298987149230735
Peru,1970,194.5,0.36,13562371,548,South America,6.306275286948016
Philippines,1970,83.3,0.2,37435586,201,Asia,5.303304908059076
Poland,1970,36.1,0.27,32664300,9972,Europe,9.207536444643448
Portugal,1970,68.8,0.53,8680431,934,Europe,6.839476438228843
Qatar,1970,66.5,0.86,118007,2557,Asia,7.846589975291186
Romania,1970,56.0,0.53,20250398,11378,Europe,9.339436945310593
Saudi Arabia,1970,66.9,3.54,6106191,880,Asia,6.779921907472252
Singapore,1970,27.1,3.63,2074507,925,Asia,6.829793737512425
Slovak Republic,1970,7.6,0.89,4538223,36890,Europe,10.515695790590721
Sweden,1970,13.4,3.63,8042801,4736,Europe,8.462948176563842
Thailand,1970,98.9,0.14,35791728,197,Asia,5.2832037287379885
Turkmenistan,1970,17.0,5.08,2201432,15238,Asia,9.631547587032955
Ukraine,1970,58.1,0.73,47279086,3425,Europe,8.138856750696325
United States,1970,23.2,3.32,205052000,5234,North America,8.562931083090092
Uzbekistan,1970,61.8,0.71,12011361,1640,Asia,7.402451520818244
South Africa,1970,44.6,0.38,22368306,948,Africa,6.854354502255021
United Arab Emirates,1971,88.8,0.86,344513,30777,Asia,10.334522936755823
Argentina,1971,70.9,0.96,24223379,1374,South America,7.2254814727822945
Australia,1971,21.0,1.99,12937000,3495,Oceania,8.15908865466791
Austria,1971,28.7,1.35,7500482,2380,Europe,7.77485576666552
Azerbaijan,1971,16.5,1.45,5282950,25845,Asia,10.15987243763014
Bangladesh,1971,373.2,0.49,68376204,127,Asia,4.844187086458591
Bulgaria,1971,31.1,1.16,8536395,12138,Europe,9.4040963063958
Belarus,1971,44.6,0.94,9115576,20705,Europe,9.938130495979667
Brazil,1971,129.4,0.28,98766288,494,South America,6.202535517187923
Canada,1971,20.9,3.33,21962032,4535,North America,8.419580362549237
Switzerland,1971,17.6,2.13,6213399,4903,Europe,8.497602541651233
Chile,1971,78.8,0.53,9984378,1089,South America,6.9930151229329605
China,1971,107.1,0.05,841105000,118,Asia,4.770684624465665
Colombia,1971,93.9,0.24,21405413,365,South America,5.8998973535824915
Germany,1971,24.9,1.84,78312842,3192,Europe,8.068402958569699
Denmark,1971,15.8,3.71,4963126,3845,Europe,8.254528881939745
Algeria,1971,234.1,0.16,14110271,359,Africa,5.883322388488279
Ecuador,1971,133.5,0.19,6350944,433,South America,6.07073772800249
Spain,1971,29.3,0.9,34224490,1362,Europe,7.216709486709457
Finland,1971,15.4,2.41,4612124,2716,Europe,7.906915488678587
France,1971,17.4,2.01,52185222,3180,Europe,8.064636475774222
United Kingdom,1971,20.6,1.87,55896223,2649,Europe,7.88193748927207
Greece,1971,28.9,0.84,8831036,1652,Europe,7.409741954080923
Hungary,1971,38.0,0.65,10367537,5373,Europe,8.589141690728821
Indonesia,1971,160.6,0.06,118347135,78,Asia,4.356708826689592
India,1971,211.4,0.04,569999178,118,Asia,4.770684624465665
Ireland,1971,21.7,1.51,2992050,1703,Europe,7.440146680662688
Iceland,1971,15.4,2.63,206098,3252,Europe,8.087025470667701
Italy,1971,31.9,1.75,54073490,2305,Europe,7.742835955430749
Japan,1971,16.5,2.09,105697000,2272,Asia,7.7284157798410416
Kazakhstan,1971,85.2,1.02,12444338,1494,Asia,7.309212365692763
"Korea, Rep.",1971,57.1,0.29,32882704,301,Asia,5.707110264748875
Kuwait,1971,65.9,5.27,858734,4518,Asia,8.415824697027949
Lithuania,1971,21.4,1.14,3179041,8998,Europe,9.104757609401117
Mexico,1971,102.8,0.39,51897675,755,North America,6.626717749249025
Malaysia,1971,53.0,0.28,10552557,402,Asia,5.996452088619021
Netherlands,1971,15.3,2.75,13194497,3378,Europe,8.125039097367745
Norway,1971,15.6,2.11,3903039,3736,Europe,8.225770799348734
New Zealand,1971,20.3,1.43,2853000,2772,Oceania,7.927324360309794
Pakistan,1971,187.2,0.07,60878781,175,Asia,5.1647859739235145
Peru,1971,160.4,0.35,13911968,595,South America,6.38856140554563
Philippines,1971,82.7,0.23,38421746,217,Asia,5.37989735354046
Poland,1971,34.3,0.29,32783500,845,Europe,6.739336627357174
Portugal,1971,63.4,0.62,8643756,1064,Europe,6.96979066990159
Qatar,1971,62.0,0.75,133096,2912,Asia,7.976595409316577
Romania,1971,50.7,0.53,20461567,9676,Europe,9.177403871729918
Saudi Arabia,1971,34.4,3.42,6396658,1123,Asia,7.023758954738443
Singapore,1971,25.7,3.13,2112900,1071,Asia,6.976348070447749
Slovak Republic,1971,20.6,0.97,4557449,28920,Europe,10.272288676272701
Sweden,1971,12.9,3.39,8098334,5132,Europe,8.543250725735527
Thailand,1971,94.3,0.15,36807997,200,Asia,5.298317366548036
Turkmenistan,1971,15.7,5.07,2264434,13750,Asia,9.528794103094718
Ukraine,1971,32.0,0.71,47597756,3828,Europe,8.250097752572845
United States,1971,22.4,3.4,207661000,5609,North America,8.632127729508337
Uzbekistan,1971,90.7,1.34,12370120,2939,Asia,7.985824666418917
South Africa,1971,36.1,0.41,23031441,1016,Africa,6.923628628138427
United Arab Emirates,1972,80.4,1.0,392368,14717,Asia,9.596758567164112
Argentina,1972,69.7,0.93,24612794,1411,South America,7.252053951852814
